Year,Country / territory of asylum/residence,Origin,Population type,Value
2000,United Arab Emirates,Syrian Arab Rep.,Asylum-seekers,49
2000,United Arab Emirates,Syrian Arab Rep.,Refugees (incl. refugee-like situations),43
2000,Australia,Syrian Arab Rep.,Asylum-seekers,61
2000,Australia,Syrian Arab Rep.,Refugees (incl. refugee-like situations),61
2000,Austria,Syrian Arab Rep.,Refugees (incl. refugee-like situations),85
2000,Azerbaijan,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1
2000,Belgium,Syrian Arab Rep.,Refugees (incl. refugee-like situations),102
2000,Benin,Syrian Arab Rep.,Asylum-seekers,1
2000,Benin,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1
2000,Bulgaria,Syrian Arab Rep.,Asylum-seekers,25
2000,Bulgaria,Syrian Arab Rep.,Refugees (incl. refugee-like situations),11
2000,Belarus,Syrian Arab Rep.,Asylum-seekers,3
2000,Belize,Syrian Arab Rep.,Asylum-seekers,15
2000,Brazil,Syrian Arab Rep.,Refugees (incl. refugee-like situations),5
2000,Canada,Syrian Arab Rep.,Asylum-seekers,98
2000,Canada,Syrian Arab Rep.,Refugees (incl. refugee-like situations),390
2000,Switzerland,Syrian Arab Rep.,Asylum-seekers,152
2000,Switzerland,Syrian Arab Rep.,Refugees (incl. refugee-like situations),137
2000,Côte d'Ivoire,Syrian Arab Rep.,Refugees (incl. refugee-like situations),3
2000,Cuba,Syrian Arab Rep.,Refugees (incl. refugee-like situations),6
2000,Cyprus,Syrian Arab Rep.,Asylum-seekers,4
2000,Cyprus,Syrian Arab Rep.,Refugees (incl. refugee-like situations),4
2000,Czech Rep.,Syrian Arab Rep.,Asylum-seekers,15
2000,Germany,Syrian Arab Rep.,Asylum-seekers,1046
2000,Denmark,Syrian Arab Rep.,Asylum-seekers,39
2000,Denmark,Syrian Arab Rep.,Refugees (incl. refugee-like situations),219
2000,Algeria,Syrian Arab Rep.,Refugees (incl. refugee-like situations),4
2000,Ecuador,Syrian Arab Rep.,Refugees (incl. refugee-like situations),15
2000,Egypt,Syrian Arab Rep.,Asylum-seekers,1
2000,Spain,Syrian Arab Rep.,Refugees (incl. refugee-like situations),18
2000,Finland,Syrian Arab Rep.,Refugees (incl. refugee-like situations),26
2000,France,Syrian Arab Rep.,Refugees (incl. refugee-like situations),148
2000,Greece,Syrian Arab Rep.,Asylum-seekers,3
2000,Greece,Syrian Arab Rep.,Refugees (incl. refugee-like situations),30
2000,Hungary,Syrian Arab Rep.,Asylum-seekers,8
2000,Hungary,Syrian Arab Rep.,Refugees (incl. refugee-like situations),8
2000,Indonesia,Syrian Arab Rep.,Asylum-seekers,1
2000,Ireland,Syrian Arab Rep.,Refugees (incl. refugee-like situations),2
2000,Iraq,Syrian Arab Rep.,Asylum-seekers,78
2000,Iraq,Syrian Arab Rep.,Refugees (incl. refugee-like situations),49
2000,Iceland,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1
2000,Israel,Syrian Arab Rep.,Asylum-seekers,4
2000,Israel,Syrian Arab Rep.,Refugees (incl. refugee-like situations),4
2000,Italy,Syrian Arab Rep.,Refugees (incl. refugee-like situations),24
2000,Jordan,Syrian Arab Rep.,Asylum-seekers,110
2000,Jordan,Syrian Arab Rep.,Refugees (incl. refugee-like situations),2
2000,Kazakhstan,Syrian Arab Rep.,Refugees (incl. refugee-like situations),3
2000,Morocco,Syrian Arab Rep.,Refugees (incl. refugee-like situations),9
2000,Rep. of Moldova,Syrian Arab Rep.,Asylum-seekers,2
2000,Malta,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1
2000,Netherlands,Syrian Arab Rep.,Asylum-seekers,1829
2000,Netherlands,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1618
2000,Norway,Syrian Arab Rep.,Refugees (incl. refugee-like situations),113
2000,New Zealand,Syrian Arab Rep.,Refugees (incl. refugee-like situations),42
2000,Oman,Syrian Arab Rep.,Asylum-seekers,1
2000,Pakistan,Syrian Arab Rep.,Asylum-seekers,3
2000,Peru,Syrian Arab Rep.,Refugees (incl. refugee-like situations),3
2000,Poland,Syrian Arab Rep.,Refugees (incl. refugee-like situations),14
2000,Qatar,Syrian Arab Rep.,Refugees (incl. refugee-like situations),6
2000,Romania,Syrian Arab Rep.,Refugees (incl. refugee-like situations),14
2000,Saudi Arabia,Syrian Arab Rep.,Asylum-seekers,8
2000,Saudi Arabia,Syrian Arab Rep.,Refugees (incl. refugee-like situations),6
2000,Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,Asylum-seekers,1
2000,Serbia and Kosovo (S/RES/1244 (1999)),Syrian Arab Rep.,Refugees (incl. refugee-like situations),1
2000,Slovakia,Syrian Arab Rep.,Asylum-seekers,1
2000,Slovakia,Syrian Arab Rep.,Refugees (incl. refugee-like situations),2
2000,Sweden,Syrian Arab Rep.,Refugees (incl. refugee-like situations),2028
2000,Tunisia,Syrian Arab Rep.,Refugees (incl. refugee-like situations),5
2000,Turkey,Syrian Arab Rep.,Asylum-seekers,2
2000,Turkey,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1
2000,Ukraine,Syrian Arab Rep.,Asylum-seekers,3
2000,Ukraine,Syrian Arab Rep.,Refugees (incl. refugee-like situations),36
2000,United States of America,Syrian Arab Rep.,Asylum-seekers,168
2000,United States of America,Syrian Arab Rep.,Refugees (incl. refugee-like situations),560
2000,Yemen,Syrian Arab Rep.,Asylum-seekers,1
2000,Yemen,Syrian Arab Rep.,Refugees (incl. refugee-like situations),10
2001,United Arab Emirates,Syrian Arab Rep.,Asylum-seekers,52
2001,United Arab Emirates,Syrian Arab Rep.,Refugees (incl. refugee-like situations),39
2001,Australia,Syrian Arab Rep.,Asylum-seekers,48
2001,Australia,Syrian Arab Rep.,Refugees (incl. refugee-like situations),73
2001,Austria,Syrian Arab Rep.,Refugees (incl. refugee-like situations),79
2001,Azerbaijan,Syrian Arab Rep.,Asylum-seekers,1
2001,Azerbaijan,Syrian Arab Rep.,Refugees (incl. refugee-like situations),1
